id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,availability_365
906446,488009,Vivian,Buitenveldert - Zuidas,52.33229,4.8743099999999995,Private room,59,361
907742,1903103,Karin,De Baarsjes - Oud-West,52.36508,4.864380000000001,Private room,87,7
916096,4917532,Nathalie,Centrum-West,52.379,4.87909,Entire home/apt,210,78
916850,4922720,Angela,Noord-West,52.406659999999995,4.90344,Entire home/apt,275,342
917955,589967,Silvy,Westerpark,52.38772,4.881469999999999,Entire home/apt,125,0
919131,4937229,Guido,Zuid,52.35864,4.87632,Entire home/apt,399,0
920560,4947559,Marit & Victor,Watergraafsmeer,52.35448,4.93366,Private room,165,335
931270,4281750,Karin,Zuid,52.3395,4.84898,Entire home/apt,125,278
932227,5022352,Lotte,De Baarsjes - Oud-West,52.3709,4.85301,Entire home/apt,130,69
933523,5033331,Dianne,IJburg - Zeeburgereiland,52.356196999999995,4.991435,Private room,122,45
934060,5037506,Olaf,Oud-Noord,52.4016,4.89785,Private room,514,100
937635,5062046,Leontine,De Baarsjes - Oud-West,52.3624,4.86575,Entire home/apt,195,0
946142,5102632,Madelinde,Westerpark,52.379909999999995,4.874140000000001,Private room,90,242
947437,5134833,Andre,Osdorp,52.35595,4.79661,Private room,85,341
951483,5162447,Roland,Watergraafsmeer,52.351490000000005,4.92265,Entire home/apt,140,130
954629,5183517,Simone,Bijlmer-Centrum,52.320190000000004,4.95501,Private room,72,0
954633,5183517,Simone,Bijlmer-Centrum,52.320190000000004,4.95501,Private room,77,237
957396,4794187,Diederik,IJburg - Zeeburgereiland,52.36073,4.98005,Entire home/apt,300,87
963328,538659,Wendie,Centrum-West,52.36561,4.88492,Private room,74,70
964986,2633774,Daniel,De Pijp - Rivierenbuurt,52.355309999999996,4.90333,Entire home/apt,355,0
969862,5297940,Helga,Zuid,52.34176,4.84782,Private room,95,349
974240,4073717,Astrid,Zuid,52.35049,4.8468599999999995,Private room,84,0
978852,3879155,Sjoukje,De Baarsjes - Oud-West,52.37225,4.86262,Private room,41,49
982907,3971476,Sander,Oostelijk Havengebied - Indische Buurt,52.37,4.95127,Entire home/apt,145,66
985155,5247071,Linda,Centrum-Oost,52.37042,4.91535,Entire home/apt,120,16
987355,5417945,Hamed,Centrum-West,52.37486,4.8933800000000005,Shared room,80,335
995087,4415881,Vera,Westerpark,52.381615000000004,4.877059,Private room,71,208
998754,5488484,Guido & Jasmine,De Baarsjes - Oud-West,52.36728,4.85926,Entire home/apt,343,32
998822,5489703,Edward,Centrum-Oost,52.3643,4.89533,Entire home/apt,153,0
1005026,5527871,Kyra,Westerpark,52.373670000000004,4.87394,Entire home/apt,200,1
1005695,5530981,Freek,Oud-Oost,52.35781,4.91027,Private room,129,66
1008006,3523553,Doet,Westerpark,52.379979999999996,4.8695900000000005,Private room,98,351
1008223,4443157,Arne,Slotervaart,52.363690000000005,4.83861,Private room,38,326
1018639,4473576,Hans,Centrum-Oost,52.36181,4.88783,Private room,136,0
1018703,125667,Michèle,De Pijp - Rivierenbuurt,52.35099,4.886627,Private room,87,147
1020477,5617295,Marc,Centrum-West,52.37811,4.89196,Entire home/apt,140,3
1021144,5619477,Tania,Gaasperdam - Driemond,52.29733,4.97628,Entire home/apt,128,67
1021538,5622526,Jef & Mette,Slotervaart,52.351659999999995,4.83893,Entire home/apt,225,16
1025482,5646154,Reinhart,Oud-Noord,52.38355,4.90951,Private room,88,283
1037485,5711109,Joosje,De Baarsjes - Oud-West,52.36926,4.8699699999999995,Entire home/apt,295,0
1038120,5714947,Jasper,Westerpark,52.38865,4.88392,Entire home/apt,950,362
1041309,5732915,Martine,Zuid,52.3543,4.88103,Entire home/apt,177,1
1044448,5750100,Saskia,Centrum-Oost,52.36377,4.91788,Entire home/apt,595,335
1044452,5750107,Jacob & Patricia,Westerpark,52.38912,4.87907,Entire home/apt,150,320
